Name, Z,RA,Dec,  Rmin, Rmax,  K0,  K0err, K100, K100err, Alpha, AlphaErr, ChiSq, K100_PL, K100err_PL, Alpha_PL, AlphaErr_PL, ChiSq_PL, Npts,Pt Src Flag
ABELL_0980,0.158,155.6182,50.1061,20.3,567.1,147.2,24.8,212.9,11.9,1.37,0.17,0.31,225,12.6,0.63,0.1,1.06,21,N
BLOX_J1023.6+0411.1,0.291,155.9154,4.1863,10.8,595,14.2,1,104.2,2.4,1.38,0.02,3.37,118.1,2,1.09,0.01,9.06,28,N
WHL_J102339.9+490838,0.144,155.9162,49.1445,18.7,806,157.2,18.6,199.8,10.1,1.49,0.13,0.53,201.1,10.7,0.65,0.08,1.49,28,N
ABELL_3444,0.253,155.9592,-27.2564,9.8,674.6,18.1,1.7,96,3,1.4,0.03,0.6,110.6,2.3,1.06,0.02,3.22,32,N
ABELL_1033,0.126,157.9363,35.0407,11.2,602.3,91.5,17.1,237.6,5.7,0.83,0.08,0.96,246.5,5.5,0.58,0.03,1.33,50,N
Hydra_Cluster,0.0126,159.1782,-27.5269,1.3,181,3.4,9.8,172.6,2.7,0.39,0.11,0.98,172.4,2.7,0.38,0.04,0.97,127,N
ABELL_1068,0.138,160.1855,39.9534,6,452,7.7,0.7,114,2.5,1.21,0.02,0.95,119.9,2.3,0.99,0.02,3.77,34,N
NGC_3402_GROUP,0.015,162.6086,-12.8450,0.8,69.4,1.6,0.1,102.2,2.9,0.92,0.02,1.95,82.9,1.8,0.75,0.01,4.89,40,N
MCXC_J1053.7+5452,0.07,163.3842,54.8754,19.8,617.1,-8,14,119,5.4,0.73,0.11,0.45,117.3,4.6,0.77,0.05,0.45,31,N
BLOX_J1056.9-0337.3,0.823,164.2327,-3.6272,38,284.7,163.8,35.5,207.4,19.8,2.01,0.45,0.61,231.8,17.7,0.51,0.26,1.27,7,N
MACS_J1108.9+0906,0.449,167.2304,9.0989,28.6,744.4,-210.7,81.6,170,12.9,0.44,0.23,0.37,80,5.5,1.26,0.04,7.17,13,N
NGC_3551,0.032,167.4352,21.7591,3.2,94.6,-36.5,25.1,168.8,6.8,0.39,0.27,0.53,179.1,6,0.66,0.04,0.96,15,N
1RXS_J111039.6+284316,0.022,167.6690,28.7138,5.5,58.1,102.5,36.2,98.1,14.7,-0.81,1.86,1.86,101.1,12.4,0.16,0.6,1.25,12,N
ABELL_1190,0.075,167.9159,40.8402,17.6,386.7,266.3,30.4,279.1,18.1,2.27,0.53,0.2,296.8,16.9,0.23,0.35,0.6,17,N
ABELL_1201,0.169,168.2278,13.4339,14.3,206.9,8.6,30.4,216.5,8.4,0.66,0.24,0.68,217.5,7.3,0.62,0.06,0.63,14,Y
ABELL_1204,0.171,168.3351,17.5944,7.2,590.8,13,1.6,95.6,2.9,1.3,0.03,0.76,105.9,2.4,1.04,0.02,3.21,24,N
SDSS_J1115+5319_CLUSTER,0.466,168.8116,53.3333,43.9,1140.6,180.3,144.2,258.8,77.7,1.23,0.31,0.36,184.3,32.8,0.9,0.12,0.46,11,N 
MACS_J1115.8+0129,0.352,168.9661,1.4990,12.3,332.5,23.3,2.5,129.1,5.7,1.55,0.06,0.36,145.9,4.8,1.01,0.04,4.52,14,N
HCG_051,0.026,170.6098,24.2986,1.3,46.4,-7,2.8,124.6,10.6,0.56,0.12,0.72,159.1,8.5,0.8,0.02,2.4,10,N
MCXC_J1130.0+3637,0.06,172.5131,36.6370,5.7,188.8,6.1,6.6,123.6,6.7,0.66,0.16,0.92,121.2,5.9,0.58,0.05,0.91,24,N
ABELL_1285,0.106,172.5932,-14.5807,14.4,671.6,245.8,24.9,287.3,11.6,1.42,0.18,0.51,285.1,11.6,0.46,0.08,1.01,49,N
ABELL_1300,0.307,172.9775,-19.9291,22.5,1123.1,71.6,30.1,275.4,17,0.93,0.1,0.29,288,16.5,0.77,0.05,0.43,31,N
WHL_J114224.8+583205,0.311,175.5980,58.5203,34,759.2,565.8,37.8,565.8,37.7,4.54,0.46,0.25,515.3,54.2,0.15,0.5,0.76,25,N
ABELL_1361,0.1171,175.9151,46.3557,10.5,329.7,15.8,2.9,160.5,7,1.38,0.06,0.45,167,6.9,1.05,0.04,2.34,13,N
SDSS-C4-DR3_3018,0.051,176.8046,55.7291,12.3,199.1,98.8,46.9,193.7,10.9,0.93,0.54,0.43,202.2,7.8,0.42,0.17,0.46,24,N
MACS_J1149.6+2223,0.5444,177.3994,22.3986,31.8,1176.8,339.1,28.3,342.8,26.4,2.51,0.14,0.57,280.5,26.4,0.47,0.14,1.9,24,N
ABELL_1413,0.143,178.8247,23.4057,6.2,646,57.6,5.1,188.3,4.4,1.05,0.04,0.61,210.1,3.6,0.72,0.02,2.18,52,N
ABELL_1423,0.213,179.3218,33.6110,8.6,283.2,37,9,185.6,7.6,1.01,0.11,0.72,196.6,6.5,0.71,0.05,1.43,17,Y
SDSS-C4-DR3_3144,0.081,179.9675,55.5348,3.8,56.6,3.1,0.8,406.8,60.4,1.45,0.07,2.39,274.8,25.4,1.14,0.03,3.54,8,N
ABELL_1446,0.103,180.5176,58.0332,9.4,191.8,173,21.3,218.2,11.4,1.94,0.46,0.3,233.4,8.5,0.3,0.23,0.66,20,Y
MKW_04,0.02,181.1134,1.8952,1,65,2.9,0.5,170.7,7.1,0.85,0.03,2.22,148.9,4.8,0.73,0.02,3.09,31,N
MACS_J1206.2-0847,0.44,181.5504,-8.8005,14.1,1089.3,66.8,11.8,181.7,10.9,1.22,0.08,0.13,207,10.3,0.85,0.05,1.07,24,N
NGC_4104_GROUP,0.028,181.6621,28.1742,1.4,24.9,0.6,0.5,1249.4,329.7,1.44,0.07,1.68,951.9,130,1.33,0.03,1.62,7,N
MCXC_J1215.4-3900,0.119,183.8530,-39.0355,37.2,599.8,369,55.7,384.1,37.7,1.96,0.44,0.33,352.3,33.9,0.39,0.22,0.67,20,N
NSC_J121733+033929,0.077,184.4215,3.6555,10.8,623,174.3,20.9,263.7,9.8,1.24,0.11,0.5,276.8,10.4,0.62,0.06,0.94,66,N
NGC_4325_GROUP,0.025,185.7776,10.6213,1.2,80.7,3.9,0.2,92.2,3,1.35,0.03,0.9,72,2,0.95,0.02,7.76,29,N
NSCS_J122648+215157,0.37,186.7123,21.8323,12.7,992.1,35.8,20.3,184.7,8.5,0.69,0.12,0.76,191.5,7.2,0.58,0.05,0.82,29,N
WARP_J1226.9+3332,0.89,186.7423,33.5463,19.5,681.4,80.1,24.6,212.9,17.7,1.32,0.12,0.08,231.6,17.4,0.95,0.08,0.89,11,N 
MESSIER_049,0.0033,187.4452,8.0006,0.2,14.2,0.4,0,318.2,3.7,0.99,0,70.93,263.2,2.1,0.91,0,85.37,43,N
ABELL_1553,0.165,187.6970,10.5540,21,762.7,213.9,25.1,249.9,14.9,1.67,0.14,0.44,233.6,14.9,0.66,0.09,1.48,28,N
MCXC_J1234.2+0947,0.229,188.6008,9.7876,45.4,861.9,243.4,55.6,287.6,27.4,1.17,0.37,0.21,286.9,27.7,0.4,0.16,0.42,18,N
MESSIER_089,0.0011,188.9157,12.5567,0.1,1,1.4,0,6703.2,3279.9,1.6,0.06,9.54,12.9,1.2,0.31,0.05,39.08,9,N
ABELL_1569,0.073,189.1027,16.5398,13.7,322.4,109,54.8,178,9.7,0.67,0.76,0.34,183.5,7.4,0.26,0.2,0.38,22,N
ABELL_1576,0.279,189.2436,63.1868,21,965.9,76.8,27.9,241,11.6,0.81,0.12,0.83,253.7,10.6,0.61,0.05,0.97,30,N
NGC_4636,0.0031,190.7077,2.6877,0.2,6.8,0.6,0.1,210,19.5,0.97,0.03,8.3,142.9,5.5,0.84,0.01,9.18,22,N
Centaurus_Cluster,0.0114,192.2053,-41.3110,0.6,25.9,1.7,0,439.3,6.3,1.39,0.01,149.46,280.1,2.6,1.14,0,220.26,23,N
NGC_4759_GROUP,0.0147,193.2739,-9.2043,0.7,22.9,2.4,0.1,153.6,6.7,1.1,0.02,16.09,79.5,1.7,0.74,0.01,37.66,16,N
ABELL_3528B,0.053,193.5924,-29.0130,5.1,394.9,12,2.9,226,6.8,1.04,0.04,0.73,235,6.4,0.91,0.02,1.22,32,N
NGC_4782-3,0.0154,193.6504,-12.5607,0.8,41,3.3,0.7,341.9,45.7,1.28,0.06,2.34,249.9,30.5,1.06,0.06,3.59,15,N
ABELL_1644,0.047,194.3015,-17.4092,4.6,198,3.9,4.7,225.4,4.6,0.83,0.06,1.21,225.6,4.6,0.79,0.02,1.19,43,N
ABELL_3532,0.055,194.3418,-30.3634,13.2,131.9,94,49.3,266.5,16.8,0.95,0.59,0.21,261.8,16.3,0.44,0.19,0.29,11,N
NGC_4839,0.0246,194.3517,27.4977,2.4,39.1,-1,5.8,1029,447.3,1.25,0.2,0.24,1100,258.5,1.29,0.07,0.2,7,N
ABELL_1651,0.085,194.8427,-4.1966,7.9,685.4,101.9,9.4,191,5.5,1.25,0.06,0.46,209.8,5.4,0.73,0.03,1.49,60,N
WHL_J125933.4+600409,0.33,194.8877,60.0706,47.2,802.3,421.1,43.1,424.2,39.9,2.59,0.26,0.64,336.7,38.2,0.42,0.18,1.16,23,N
ABELL_1664,0.128,195.9271,-24.2452,5.7,299.6,11.6,0.9,106.4,2.4,1.33,0.03,3.11,105.8,2.5,0.96,0.02,8.26,27,N
ABELL_1668,0.063,195.9442,19.2703,3,209.6,13.5,1.4,155.9,4.9,1.22,0.04,0.7,150.2,5.1,0.87,0.03,4.26,20,N
NGC4936-offset2,0.0103,196.0715,-30.5261,1,57.3,-3.5,3.3,78.8,9,0.53,0.2,0.44,87.6,7.3,0.66,0.05,0.52,19,N
MACS_J1311.0-0311,0.494,197.7569,-3.1773,15.1,558.9,34.2,4.1,114.9,5.4,1.38,0.06,0.33,133.8,4.3,0.89,0.04,3.52,15,N
ABELL_1689,0.183,197.8730,-1.3412,7.6,921,55.5,4.9,193.2,3.6,1.07,0.03,0.77,209.8,3.2,0.83,0.02,2.39,61,N
WHL_J131505.2+514902,0.291,198.7682,51.8201,21.6,930.4,165.9,31,261.4,14.8,1.19,0.12,0.2,260.9,15.7,0.71,0.07,0.79,26,N
NGC_5044,0.009,198.8497,-16.3854,0.5,21.4,2,0.2,61.2,2.4,0.85,0.03,15.77,43.6,0.7,0.61,0.01,19.15,24,N
NGC_5098_GROUP,0.037,200.0610,33.1431,1.8,121.4,3.2,0.4,119.3,4.4,1.03,0.03,3.28,104.4,3.6,0.84,0.02,5.3,24,N
NGC_5129,0.023,201.0416,13.9755,1.1,58.4,0,0.5,113.4,5.2,0.78,0.04,1.2,113.6,4,0.78,0.02,1.1,15,N
ABELL_1736,0.046,201.7204,-27.1710,13.4,390.2,-845.7,11417.4,216.4,10.5,0.05,10.63,1,214.7,8.8,0.22,0.2,0.98,48,N
ABELL_3558,0.048,201.9869,-31.4955,2.3,109.1,-55.3,47,218.9,9.7,0.31,0.33,0.89,231.2,8.1,0.51,0.05,1.01,24,Y
NGC_5171,0.0229,202.3540,11.7626,6.8,65,34,3.5,547.7,453.8,6.24,0.32,1.21,73.2,6.9,0.58,0.22,2.73,13,N
SSGC_081,0.05,202.4490,-31.6069,7.2,335.3,26.3,23.5,223.3,7.6,0.57,0.18,0.96,227.3,6.2,0.47,0.06,0.96,35,Y
a1750ss,0.091,202.5397,-2.0986,29.3,297.4,-24.7,18.8,37.9,4.9,0.73,0.38,0.21,30.5,3.7,1.33,0.11,0.99,10,N
ABELL_1750C,0.068,202.7107,-1.8618,12.9,382.3,157.4,22.7,249,10.7,1.18,0.19,0.22,272.9,8.9,0.46,0.09,0.81,25,N
ABELL_1750N,0.084,202.7956,-1.7282,15.6,498.8,23.7,28.8,209.6,11.7,0.69,0.18,0.74,215.5,8.7,0.61,0.07,0.73,24,N
SC_1329-313,0.048,202.8808,-31.8245,16.2,92.8,-41.4,42.3,283.9,40.1,1.1,0.36,0.53,302.5,34.5,1.49,0.14,0.76,6,N
ABELL_3560,0.0489,203.1071,-33.1360,9.4,115.7,-1033.7,6437.6,230.3,11.1,0.06,5.48,0.5,237.1,10.1,0.49,0.1,0.61,18,N
ABELL_1758,0.279,203.2017,50.5424,10.5,598.4,104.1,41,321.7,13,0.72,0.15,0.71,331.8,12.2,0.52,0.06,0.85,29,N
ABELL_3562,0.049,203.4055,-31.6716,7.1,364.5,74,13.6,221.4,6.9,0.93,0.11,0.48,238,5.2,0.58,0.05,0.71,68,N
ABELL_1763,0.223,203.8333,41.0005,26.7,569,184.6,22.2,219.3,12.3,1.91,0.14,0.53,202,12.1,0.81,0.08,1.7,27,N
ABELL_1767,0.07,204.0343,59.2055,16.5,435.6,286.3,24.8,307.7,14.7,2.06,0.23,0.32,313.8,14.4,0.41,0.13,1.1,26,N
ABELL_1775,0.072,205.4517,26.3709,3.4,105,56.5,5.9,255,25.6,2.06,0.16,0.38,164.8,13.3,0.61,0.12,2.65,16,N
ABELL_3571,0.0391,206.8685,-32.8646,1.9,185.3,31.2,23.9,246.4,3.9,0.47,0.17,1.53,247.1,3.8,0.38,0.05,1.53,49,N
LCDCS_0829,0.451,206.8776,-11.7524,14.4,444.9,7.5,2.7,176.7,4.3,1.11,0.04,1.16,182.6,3.6,1.02,0.02,1.56,16,N
ABELL_1795,0.0625,207.2200,26.5899,3,264.5,14.7,0.9,138.3,1.1,1.13,0.02,2.51,140.9,1.1,0.88,0.01,7.06,45,N
NSCS_J135021+094042,0.09,207.5913,9.6698,4.1,265.4,7.2,0.8,146.3,3.2,1.16,0.03,0.86,148.5,3.3,0.94,0.02,3.94,25,N
MACS_J1359.2-1929,0.447,209.7926,-19.4903,14.3,485.4,19.3,3.8,112.2,7.2,1.34,0.08,0.26,125.1,6.2,0.95,0.05,2.22,10,N
ABELL_1831,0.061,209.8156,27.9753,8.7,412.6,81.1,13.5,186.6,7.9,1.2,0.12,0.44,206.1,6.4,0.69,0.06,1.11,27,N
WHL_J135949.5+623047,0.322,209.9609,62.5180,11.6,742.7,7.6,6.9,197,8.5,0.9,0.06,0.95,203.2,5.9,0.85,0.03,0.96,24,N
ABELL_1835,0.253,210.2581,2.8789,9.8,596.4,11.8,1.3,117.9,3.5,1.34,0.03,1.57,132.6,2.8,1.1,0.02,3.85,31,N
NGC5419-offset2,0.0138,210.9117,-33.9781,0.7,53.5,-3.3,1.3,406.8,31.8,0.82,0.06,0.96,477.4,26.9,0.97,0.02,2.17,9,N
NGC5419-offset1,0.0138,210.9119,-33.9783,0.7,58.4,-5.4,1.8,352.7,46.5,0.74,0.08,0.44,470.2,44.8,0.95,0.02,2.09,12,N
ABELL_3581,0.023,211.8741,-27.0183,1.1,85.9,6,0.2,121.2,2.2,1.06,0.02,3.2,96,1.3,0.75,0.01,13.84,38,Y
A1882a,0.141,213.7785,-0.4920,18.4,141.2,-30.7,16.3,277.5,16,1.21,0.17,0.63,272.5,15.6,1.77,0.06,1.89,9,N
WARP_J1415.1+3612,1.03,213.7954,36.2022,20.2,324,-26.1,97.6,153.3,10.3,0.41,0.68,0.1,150.7,6.9,0.5,0.09,0.11,8,N
WHL_J141623.8+444528,0.386,214.1161,44.7792,26.1,444.2,14,17,118.6,10.1,0.93,0.19,0.05,123.9,6.8,0.81,0.07,0.17,6,N
GMBCG_J215.94948+24.07846,0.543,215.9495,24.0785,15.9,333.5,3.6,3.4,132.1,4.6,1.06,0.06,0.67,135.8,3.6,1,0.02,0.72,11,N
ABELL_1914,0.171,216.5132,37.8238,7.2,915,93.6,17.8,227.9,8.3,0.86,0.1,0.53,245.5,7.6,0.57,0.04,0.8,49,N
WHL_J142716.1+440730,0.498,216.8172,44.1252,15.2,622.1,7.4,2.8,130.7,5.3,1.22,0.04,2.1,138.3,4.2,1.12,0.03,2.45,14,N
MACS_J1427.6-2521,0.318,216.9144,-25.3508,11.5,207.1,9,3.8,156.9,5.9,1.18,0.09,0.12,158.1,6.1,0.99,0.04,0.64,9,N
ABELL_1930,0.131,218.1582,31.6471,5.8,357.5,5.4,2.2,176,3.8,0.92,0.04,0.96,180.6,3.2,0.86,0.02,1.15,27,N
ABELL_1942_AND_CLUMP,0.224,219.5915,3.6702,17.8,999.2,-199.3,378.9,299.3,14.6,0.2,0.71,0.51,294.2,12.8,0.31,0.1,0.52,33,N
WBL_518,0.027,220.1649,3.4710,5.4,58.9,-436.1,8291.8,250.5,47.1,0.06,13.52,0.26,259.7,25,0.22,0.3,0.3,10,N
ABELL_1991,0.059,223.6314,18.6445,2.8,149.3,0.9,0.3,130.2,3.2,1.04,0.02,1.55,125.7,2.8,0.98,0.01,1.9,27,N
NSCS_J145715+222009,0.258,224.3129,22.3425,9.9,486,14.9,1.3,95,2.3,1.24,0.03,1.25,104.4,2,0.92,0.02,5.15,25,N
ABELL_S0780,0.236,224.8706,-18.1793,9.3,436.3,16.1,1.5,111.8,2.8,1.26,0.03,1.42,124.4,2.3,0.99,0.02,5.39,24,N
ABELL_2009,0.153,225.0816,21.3699,6.6,769.1,15.8,2,169.8,3.3,1.06,0.02,0.53,182.2,2.7,0.92,0.02,1.85,39,N
WHL_J150407.5-024816,0.215,226.0311,-2.8045,8.6,1132.4,9,0.5,90.6,1.7,1.31,0.01,1.67,103.1,1.5,1.11,0.01,6.81,52,N
NGC_5846,0.0057,226.6217,1.6060,0.3,9.6,1.6,0.2,218.1,37.1,1.11,0.06,3.16,98.4,6.4,0.78,0.02,5.15,17,N
ABELL_2029,0.0722,227.7337,5.7448,3.4,342.9,7.1,0.7,181.4,1.3,0.88,0.01,2.82,181.8,1.3,0.78,0.01,4.44,51,N
MCXC_J1514.9-1523,0.223,228.7621,-15.3895,26.7,1146.9,-688.5,254.6,278.3,18,0.26,0.26,1.12,106.1,6.4,1.14,0.03,4.88,55,N
ABELL_2052,0.0355,229.1813,7.0222,1.7,67.9,-3.7,1,159.9,2.5,0.99,0.03,5.19,168.2,1.5,1.09,0.01,5.87,17,N
ABELL_2061,0.078,230.2929,30.6115,18.2,754.2,179.7,30.6,256.1,12.9,1.09,0.12,0.55,228.1,10.9,0.63,0.05,0.8,69,N
MKW_03s,0.045,230.4660,7.7081,2.2,216.2,21.4,2,136.1,1.8,0.96,0.04,1.09,135.6,1.8,0.68,0.02,2.57,50,N
ABELL_2063,0.0349,230.7717,8.6095,1.7,138.8,45.9,7.3,224.4,4.4,1.04,0.1,1.49,221.2,4.3,0.66,0.04,2.02,41,N
ABELL_2069,0.116,231.0356,29.8818,15.6,716.4,291.8,46.8,358.4,18.5,1.16,0.21,0.75,327.7,15.8,0.49,0.08,0.97,65,N
MCXC_J1524.2-3154,0.103,231.0535,-31.9064,4.7,191.8,8.1,0.5,141.7,4.3,1.56,0.03,0.92,124.5,4.3,1.09,0.02,9.73,21,N
MACS_J1532.8+3021,0.345,233.2242,30.3497,12.2,279.5,15.5,0.9,101.3,2.3,1.53,0.03,0.55,95.5,2.4,0.9,0.03,14.78,12,N
ABELL_2092,0.067,233.3068,31.1502,34.9,209.2,69.9,242.1,205.1,30.2,0.68,1.97,0.8,209.1,20.8,0.44,0.39,0.55,5,N
ABELL_2107,0.041,234.9126,21.7827,2,363.8,-7.3,4.5,215.2,3.9,0.55,0.05,1.21,212.1,3.6,0.6,0.02,1.23,87,N
ABELL_2111,0.229,234.9244,34.4162,27.2,916.4,198.2,32.1,294.7,14,1.18,0.13,0.56,292.8,14.6,0.65,0.06,1.1,33,N
ABELL_2104,0.153,235.0340,-3.3038,6.6,519.3,202,23.5,277.6,10.1,1.21,0.17,1.1,298.8,10,0.45,0.08,1.52,39,N
ABELL_2125,0.246,235.3106,66.2659,38.3,574.5,185.9,19.7,201,13.1,1.91,0.22,0.42,208,13,0.43,0.14,1.61,14,N
ABELL_2124,0.066,236.2458,36.1091,9.4,287.6,93,24.5,286.3,10.9,0.84,0.18,0.5,301.3,8.6,0.5,0.07,0.69,35,N
ABELL_2146,0.2343,239.0512,66.3516,9.2,581.6,72.9,6.1,159.8,3.8,1.36,0.05,1.33,175.8,3.4,0.86,0.03,4.32,32,N
ABELL_2142,0.091,239.5847,27.2310,4.2,423,38.4,5.7,170.3,2.7,0.87,0.05,1.04,178.5,2.1,0.65,0.02,1.61,51,N
MCXC_J1558.3-1410,0.097,239.5913,-14.1658,4.4,394.7,19.6,1.8,123.2,2.6,1.13,0.03,1.07,135.9,2.1,0.89,0.02,3.23,44,N
ABELL_2147,0.035,240.5694,15.9768,8.6,290.4,170.3,23.4,251.1,8.3,1.25,0.22,0.8,268.6,7.1,0.44,0.09,1.01,66,N
ABELL_2151,0.037,241.1494,17.7215,3.6,261,9.4,2.9,156.4,4.3,0.85,0.07,0.86,156.1,4.4,0.71,0.03,1.01,45,N
AWM_4,0.0318,241.2354,23.9340,1.6,136.3,27.6,4.7,138.9,3.7,0.74,0.11,0.28,133.9,3.4,0.44,0.05,0.71,44,N
ABELL_2163,0.203,243.9412,-6.1491,8.3,586.9,239,22.3,279.5,11.6,1.73,0.13,0.76,260.4,11.2,0.67,0.06,2.05,36,N
MACS_J1621.3+3810,0.465,245.3537,38.1689,14.6,686.5,6,4.3,162.1,6.4,1.04,0.05,0.35,167.9,4.6,0.98,0.02,0.42,21,N
ABELL_2187,0.184,246.0585,41.2400,22.9,626.9,106.9,23.6,211.1,12.4,1.23,0.14,0.07,228.5,12.1,0.72,0.08,0.65,20,N
ABELL_2204,0.152,248.1956,5.5755,6.5,490.3,6.6,0.4,129.2,2.1,1.31,0.01,6.68,136.9,2.1,1.11,0.01,13.69,38,N
ABELL_2218,0.176,248.9614,66.2101,14.8,966.2,202.2,15.3,241.8,9.4,1.52,0.07,0.7,205.3,8.8,0.75,0.04,2.37,56,N
ABELL_2219,0.226,250.0829,46.7119,9,583.8,264.3,20.9,309.1,10.1,1.52,0.13,0.44,303.6,10.1,0.51,0.06,1.78,33,N
Hercules_A,0.155,252.7842,4.9925,6.6,206,-17.1,4.6,147.9,3.1,0.64,0.07,2.1,145.7,3,0.88,0.02,4.02,16,N
NGC_6269,0.035,254.4921,27.8543,1.7,99.7,-2.2,2.2,214.5,14.8,0.73,0.07,0.79,224.2,12.1,0.79,0.03,0.82,16,N
ABELL_2244,0.097,255.6778,34.0608,4.4,376.9,53.4,3.5,154.6,2.8,1.12,0.05,0.85,169,2.3,0.63,0.03,3.59,43,N
ABELL_2256,0.058,255.8096,78.6490,8.3,302.2,299.5,23.8,307.6,10.8,2.15,0.76,0.69,304.3,10,0.17,0.25,0.72,52,N
Ophiuchus_CLUSTER,0.028,258.1155,-23.3685,1.4,59.6,-6.9,1.3,326.3,10.6,0.74,0.03,1.19,379.7,8.5,0.9,0.01,3.28,22,Y
ABELL_2255,0.081,258.1725,64.0728,11.3,678.7,318.9,58.7,394.8,17.8,0.89,0.31,0.74,382.5,16.5,0.31,0.11,0.83,85,N
ABELL_2259,0.164,260.0317,27.6705,20.9,814.6,112.8,15.7,165.6,8,1.58,0.1,0.21,165.5,8.6,0.88,0.07,1.55,22,N
SDSS-C4_3072,0.164,260.0416,26.6251,7,842.5,18.8,1.5,127,3.1,1.3,0.02,0.78,144.1,2.5,1.03,0.02,3.25,52,N
MACS_J1720.2+3536,0.391,260.0701,35.6073,13.2,750.8,20.2,2.8,134.2,5.4,1.24,0.04,0.6,153,4.1,0.97,0.03,2.42,22,N
ABELL_2261,0.224,260.6133,32.1328,8.9,1043.8,31,10.9,188,6.5,0.78,0.06,0.92,195.6,5.7,0.68,0.03,1.08,40,N
ABELL_2294,0.169,261.0495,85.8863,21.4,699.3,35.8,77.4,283.9,22.4,0.64,0.29,0.49,289.8,17.1,0.56,0.09,0.47,20,N
Abell_2276,0.141,263.7693,64.1017,12.3,417.4,3.8,7.7,164,5.5,0.84,0.08,0.53,165.5,4.5,0.82,0.04,0.52,18,N
ZwCl_1742.1+3306,0.076,266.0598,32.9911,3.6,288.2,10.8,1.1,123.2,2,1.12,0.03,3.86,126.1,2,0.9,0.02,5.96,41,N
NSC_J174715+451155,0.157,266.8113,45.1968,40.3,752.2,330.1,32,330.3,31.7,4.13,0.3,0.71,417.6,36.7,-0.01,4.82,1.9,21,N
MCXC_J1750.2+3504,0.171,267.5704,35.0828,7.2,698.9,6,1.3,131,4.6,1.16,0.03,1.44,140.4,4,1.03,0.02,2.25,24,N
NGC_6482,0.0131,267.9531,23.0719,0.7,31.7,1,0.1,133.1,11.8,1.08,0.04,0.15,84.2,5.2,0.83,0.02,3.63,14,N
CIZA_J1804.4+1002,0.152,271.1310,10.0571,13.1,751.8,55.8,35.7,262.4,14.7,0.7,0.17,0.34,273,12.6,0.56,0.07,0.39,29,N
ABELL_2302,0.179,274.9918,57.1561,37.4,717.8,245.4,62.3,311.7,27.8,1.07,0.37,0.49,324,28.6,0.39,0.17,0.6,18,N
_HB89__1821+643,0.297,275.4876,64.3438,11,493.9,-37.2,9.7,158.7,4.7,0.91,0.06,3.05,137.3,2.3,1.2,0.01,4.16,23,N
MACS_J1829.0+6913,0.203,277.2735,69.2353,8.3,479.4,19.1,2.9,137,4.5,1.21,0.05,0.7,148.6,3.8,0.92,0.03,2.27,20,N
MCXC_J1852.1+5711,0.109,283.0358,57.1949,9.8,236,6.3,11.2,171.8,6.4,0.75,0.15,0.42,172.3,6.4,0.7,0.05,0.42,18,N
MCXC_J1853.9+6822,0.093,283.5094,68.3827,12.8,469.8,-103.8,103.2,234,9.2,0.31,0.35,0.89,224.6,6.8,0.46,0.06,0.99,21,N
PLCKESZ_G337.09-25.97,0.264,288.6564,-59.4722,20.2,786.8,-8.6,7.4,141.5,5.4,0.95,0.05,0.66,138,4.5,1,0.03,0.7,26,N
ABELL_2319,0.056,290.2945,43.9516,5.4,517.8,189.9,18.5,273.1,7.9,1.32,0.09,0.65,276.4,8.5,0.63,0.05,1.2,95,N
MACS_J1931.8-2635,0.352,292.9569,-26.5759,12.3,381.8,20.3,1.7,97.5,3,1.59,0.04,4.71,113.1,2.4,1.15,0.02,12.71,16,N
CIZA_J1938.3+5409,0.26,294.5768,54.1597,20,748.2,51.7,11.7,141.7,7.8,1.23,0.09,0.24,153.8,7.5,0.89,0.06,0.94,20,N
MCXC_J1947.3-7623,0.217,296.8121,-76.3958,8.7,661.7,3.6,4.6,178.1,6.8,0.97,0.05,1.01,181,5.4,0.94,0.03,0.99,25,N
ABELL_3653,0.109,298.2641,-52.0369,19.7,191.7,-163.5,194.8,319.2,20.7,0.5,0.58,0.47,295.4,16.6,0.98,0.09,0.89,8,N
MCXC_J2003.5-2323,0.317,300.8713,-23.3734,11.5,1182.5,-99,24.3,174.6,11.3,0.45,0.11,1,58.6,1.9,1.14,0.01,4.78,45,N
NGC_6868,0.0095,302.4754,-48.3799,0.5,40.4,-1.6,0.8,110.9,5.6,0.7,0.06,1.61,121.2,4,0.79,0.02,1.73,28,N
MCXC_J2011.3-5725,0.279,302.8622,-57.4199,21,399,36,7.9,102.4,5.4,1.26,0.13,0.07,111.7,4.5,0.76,0.08,1.3,10,N
MCXC_J2014.8-2430,0.161,303.7153,-24.5062,6.9,411.4,8.4,0.6,116,2.2,1.34,0.02,1.71,126.7,2,1.1,0.01,8.36,28,N
SPT-CL_J2023-5535,0.232,305.8389,-55.5967,36.7,843,-259.9,148.9,156.6,16.1,0.44,0.31,0.38,143.6,14.1,0.89,0.08,0.95,20,N
ABELL_3695,0.089,308.6888,-35.8120,20.5,599.4,339.1,53.6,379.6,27.5,1.51,0.3,0.28,358.2,25.5,0.45,0.14,0.56,31,N
SPT-CLJ2043-5035,0.723,310.8231,-50.5923,18.1,687.7,16.2,3.3,98.3,5.8,1.25,0.07,0.06,110.6,4.5,0.93,0.04,1.55,11,N
MACS_J2046.0-3430,0.423,311.5021,-34.5048,13.8,497.5,5.5,1.6,106,3.8,1.22,0.04,0.51,113.3,2.7,1.09,0.02,1.43,12,N
